Logan 5.1.1
rawFileName="H:\timo\research\PoweredUp\data\{None} 9326 201402051224.raw"
From=0:00.0, To=5:32.9
Date=05Feb2014
Time=12:24:59
Athlete={None}
EventDescription=
Time, Forward, Sideways, Up, Gyr1(d/s), Gyr2(d/s), Gyr3(d/s), Mag Fwd, Mag Left, Mag Up, 
0:00.56, -0.014, 0.934, 0.108, -0.688, 8.340, 3.296, 0.039, -0.136, -1.508, 
0:00.57, -0.014, 0.927, 0.108, -0.688, 8.340, 3.296, 0.034, -0.120, -1.492, 
0:00.59, -0.014, 0.927, 0.108, -0.688, 8.340, 3.296, 0.026, -0.101, -1.479, 
0:00.60, -0.021, 0.927, 0.108, -0.079, 8.340, 2.931, 0.021, -0.089, -1.464, 
0:00.61, -0.021, 0.927, 0.108, -0.688, 8.340, 2.931, 0.016, -0.073, -1.451, 
0:00.62, -0.014, 0.927, 0.108, -0.079, 8.687, 2.931, 0.008, -0.057, -1.438, 
0:00.63, -0.014, 0.927, 0.108, -0.688, 8.687, 3.296, 0.003, -0.041, -1.426, 
0:00.64, -0.014, 0.934, 0.108, -0.688, 8.687, 3.296, -0.003, -0.028, -1.413, 
0:00.65, -0.014, 0.940, 0.108, -0.688, 8.687, 3.296, -0.008, -0.016, -1.401, 
0:00.66, -0.014, 0.940, 0.108, -0.688, 8.687, 3.296, -0.013, -0.003, -1.388, 
0:00.67, -0.014, 0.940, 0.108, -0.079, 8.687, 2.931, -0.016, 0.009, -1.375, 
0:00.68, -0.014, 0.940, 0.108, -0.688, 8.687, 3.296, -0.021, 0.022, -1.366, 
0:00.69, -0.014, 0.940, 0.108, -0.688, 8.687, 3.296, -0.026, 0.035, -1.356, 
0:00.70, -0.014, 0.940, 0.108, -0.079, 8.340, 3.296, -0.031, 0.047, -1.344, 
0:00.71, -0.014, 0.940, 0.108, -0.688, 8.340, 3.296, -0.034, 0.057, -1.334, 
0:00.72, -0.014, 0.940, 0.108, -0.688, 8.340, 3.296, -0.039, 0.070, -1.325, 
0:00.73, -0.007, 0.940, 0.108, -0.079, 8.340, 3.296, -0.042, 0.079, -1.315, 
0:00.74, -0.014, 0.940, 0.108, -0.688, 8.340, 3.296, -0.047, 0.089, -1.306, 
0:00.75, -0.014, 0.940, 0.108, -0.688, 8.340, 3.296, -0.049, 0.098, -1.297, 
0:00.76, -0.021, 0.940, 0.108, -0.688, 8.687, 3.296, -0.055, 0.108, -1.290, 
0:00.77, -0.014, 0.940, 0.108, -0.079, 8.687, 3.296, -0.057, 0.117, -1.281, 
0:00.78, -0.014, 0.940, 0.101, -0.079, 8.687, 3.296, -0.060, 0.127, -1.274, 
0:00.79, -0.014, 0.940, 0.101, -0.688, 8.687, 3.296, -0.065, 0.136, -1.265, 
0:00.80, -0.014, 0.940, 0.101, -0.688, 8.687, 3.296, -0.068, 0.142, -1.259, 
0:00.81, -0.014, 0.940, 0.108, -0.688, 8.687, 3.296, -0.070, 0.152, -1.249, 
0:00.82, -0.021, 0.940, 0.108, -0.688, 8.687, 3.296, -0.073, 0.158, -1.243, 
0:00.83, -0.014, 0.940, 0.108, -0.079, 8.687, 3.296, -0.075, 0.168, -1.237, 
0:00.84, -0.014, 0.940, 0.108, -0.079, 8.687, 3.296, -0.081, 0.174, -1.230, 
0:00.85, -0.014, 0.940, 0.108, -0.688, 8.687, 3.296, -0.083, 0.180, -1.224, 
0:00.86, -0.014, 0.940, 0.108, -0.688, 8.687, 3.296, -0.086, 0.187, -1.218, 
0:00.87, -0.014, 0.934, 0.108, -0.079, 8.687, 3.296, -0.088, 0.196, -1.211, 
0:00.88, -0.014, 0.934, 0.108, -0.079, 8.340, 3.296, -0.091, 0.203, -1.205, 
0:00.89, -0.021, 0.934, 0.108, -0.688, 8.340, 3.296, -0.091, 0.209, -1.199, 
0:00.90, -0.014, 0.927, 0.108, -0.688, 8.687, 3.296, -0.094, 0.212, -1.196, 
0:00.91, -0.021, 0.927, 0.108, -0.079, 8.340, 3.296, -0.096, 0.218, -1.189, 
0:00.92, -0.021, 0.927, 0.101, -0.079, 8.340, 3.296, -0.099, 0.225, -1.183, 
0:00.93, -0.014, 0.927, 0.101, -0.079, 8.687, 3.296, -0.101, 0.231, -1.180, 
0:00.94, -0.014, 0.927, 0.101, -0.688, 8.687, 3.296, -0.104, 0.237, -1.174, 
0:00.95, -0.014, 0.927, 0.101, -0.079, 8.687, 3.296, -0.104, 0.241, -1.170, 
0:00.96, -0.014, 0.927, 0.108, -0.688, 8.687, 3.296, -0.106, 0.247, -1.164, 
0:00.97, -0.014, 0.927, 0.101, -0.688, 8.687, 3.296, -0.109, 0.250, -1.161, 
0:00.98, -0.014, 0.927, 0.101, -0.688, 8.687, 3.296, -0.112, 0.256, -1.158, 
0:00.99, -0.014, 0.921, 0.108, -0.079, 8.687, 3.296, -0.112, 0.259, -1.151, 
0:01.00, -0.014, 0.921, 0.108, -0.688, 8.687, 3.296, -0.114, 0.266, -1.148, 
0:01.01, -0.021, 0.921, 0.108, -0.079, 8.687, 3.296, -0.114, 0.269, -1.145, 
0:01.02, -0.021, 0.921, 0.108, -0.688, 8.687, 3.296, -0.117, 0.272, -1.142, 
0:01.03, -0.014, 0.921, 0.108, -0.688, 8.340, 3.296, -0.119, 0.278, -1.139, 
0:01.04, -0.014, 0.921, 0.108, -0.079, 8.340, 3.296, -0.119, 0.282, -1.132, 
0:01.05, -0.014, 0.921, 0.108, -0.688, 8.687, 3.296, -0.122, 0.285, -1.129, 
0:01.06, -0.014, 0.921, 0.108, -0.079, 8.687, 3.296, -0.122, 0.288, -1.126, 
0:01.07, -0.021, 0.921, 0.108, -0.688, 8.687, 3.296, -0.125, 0.291, -1.123, 
0:01.08, -0.021, 0.921, 0.108, -0.688, 8.687, 3.296, -0.125, 0.294, -1.120, 
0:01.09, -0.021, 0.927, 0.101, -0.688, 8.687, 3.296, -0.127, 0.297, -1.117, 
0:01.10, -0.021, 0.927, 0.101, -0.688, 8.687, 3.296, -0.127, 0.301, -1.117, 
0:01.11, -0.014, 0.927, 0.101, -0.688, 8.687, 3.296, -0.130, 0.304, -1.114, 
0:01.12, -0.014, 0.927, 0.108, -0.688, 8.687, 3.296, -0.130, 0.307, -1.110, 
0:01.12, -0.014, 0.927, 0.101, -0.079, 8.687, 3.296, -0.132, 0.310, -1.107, 
0:01.13, -0.014, 0.927, 0.108, -0.688, 8.687, 3.296, -0.132, 0.313, -1.104, 
0:01.14, -0.014, 0.927, 0.108, -0.688, 8.340, 3.296, -0.135, 0.316, -1.101, 
0:01.15, -0.014, 0.927, 0.108, -0.688, 8.340, 3.296, -0.135, 0.320, -1.101, 
0:01.17, -0.014, 0.921, 0.108, -0.688, 8.340, 3.296, -0.135, 0.323, -1.098, 
0:01.18, -0.021, 0.921, 0.108, -0.688, 8.340, 3.296, -0.138, 0.326, -1.095, 
0:01.19, -0.014, 0.921, 0.108, -0.079, 8.340, 3.296, -0.138, 0.326, -1.091, 
0:01.20, -0.014, 0.921, 0.108, -0.688, 8.340, 3.296, -0.138, 0.329, -1.091, 
0:01.21, -0.021, 0.921, 0.108, -0.688, 8.340, 3.296, -0.140, 0.332, -1.088, 
0:01.22, -0.021, 0.921, 0.108, -0.079, 8.687, 3.296, -0.140, 0.332, -1.088, 
0:01.23, -0.014, 0.921, 0.115, -0.688, 8.687, 3.296, -0.140, 0.335, -1.085, 
0:01.24, -0.021, 0.921, 0.108, -0.079, 8.687, 3.296, -0.143, 0.339, -1.082, 
0:01.25, -0.021, 0.921, 0.108, -0.688, 8.687, 3.296, -0.143, 0.339, -1.082, 
0:01.26, -0.014, 0.921, 0.108, -0.688, 8.687, 3.296, -0.143, 0.342, -1.079, 
0:01.27, -0.014, 0.921, 0.108, -0.079, 8.687, 3.296, -0.143, 0.345, -1.079, 
0:01.28, -0.021, 0.921, 0.108, -0.688, 8.687, 3.296, -0.145, 0.345, -1.076, 
0:01.29, -0.014, 0.921, 0.108, -0.688, 8.687, 3.296, -0.145, 0.348, -1.076, 
0:01.30, -0.014, 0.921, 0.108, -0.688, 8.340, 3.296, -0.145, 0.348, -1.073, 
0:01.31, -0.014, 0.921, 0.108, -0.688, 8.340, 3.296, -0.145, 0.351, -1.073, 
0:01.32, -0.014, 0.921, 0.108, -0.688, 8.340, 3.296, -0.148, 0.351, -1.069, 
0:01.33, -0.014, 0.921, 0.108, -0.688, 8.340, 3.296, -0.148, 0.354, -1.069, 
0:01.34, -0.014, 0.921, 0.108, -0.079, 8.340, 3.296, -0.148, 0.354, -1.066, 
0:01.35, -0.014, 0.921, 0.108, -0.688, 8.340, 3.296, -0.148, 0.358, -1.066, 
0:01.36, -0.021, 0.921, 0.108, -0.688, 8.340, 3.296, -0.151, 0.358, -1.066, 
0:01.37, -0.014, 0.921, 0.101, -0.079, 8.340, 3.296, -0.151, 0.361, -1.063, 
0:01.38, -0.014, 0.921, 0.101, -0.688, 8.340, 2.931, -0.151, 0.361, -1.063, 
0:01.39, -0.014, 0.927, 0.095, -0.688, 8.340, 3.296, -0.151, 0.361, -1.063, 
0:01.40, -0.014, 0.934, 0.088, -0.079, 8.340, 2.931, -0.151, 0.364, -1.060, 
0:01.41, -0.014, 0.927, 0.088, -0.688, 8.687, 2.931, -0.153, 0.364, -1.060, 
0:01.42, -0.021, 0.921, 0.088, -0.079, 8.687, 2.931, -0.153, 0.367, -1.057, 
0:01.43, -0.014, 0.921, 0.095, -0.688, 8.687, 2.931, -0.153, 0.367, -1.057, 
0:01.44, -0.014, 0.921, 0.088, -0.688, 8.687, 2.931, -0.153, 0.367, -1.057, 
0:01.45, -0.014, 0.927, 0.095, -0.079, 8.687, 2.931, -0.153, 0.370, -1.057, 
0:01.46, -0.014, 0.927, 0.088, -0.688, 8.687, 2.931, -0.153, 0.370, -1.054, 
0:01.47, -0.021, 0.927, 0.088, -0.688, 8.687, 2.931, -0.156, 0.370, -1.054, 
0:01.48, -0.021, 0.934, 0.101, -0.688, 8.340, 2.931, -0.156, 0.373, -1.054, 
0:01.49, -0.021, 0.934, 0.101, -0.688, 8.687, 3.296, -0.156, 0.373, -1.050, 
0:01.50, -0.021, 0.934, 0.108, -0.688, 8.687, 3.296, -0.156, 0.373, -1.050, 
0:01.51, -0.021, 0.934, 0.108, -0.688, 8.687, 3.296, -0.156, 0.373, -1.050, 
0:01.52, -0.021, 0.927, 0.108, -0.688, 8.340, 3.296, -0.156, 0.377, -1.050, 
0:01.53, -0.014, 0.927, 0.108, -0.688, 8.687, 3.296, -0.156, 0.377, -1.047, 
0:01.54, -0.021, 0.927, 0.108, -0.688, 8.687, 3.296, -0.156, 0.377, -1.047, 
0:01.55, -0.021, 0.927, 0.108, -0.079, 8.687, 3.296, -0.158, 0.380, -1.047, 
0:01.56, -0.014, 0.927, 0.108, -0.688, 8.687, 3.662, -0.158, 0.380, -1.047, 
0:01.57, -0.014, 0.927, 0.108, -0.688, 8.687, 3.662, -0.158, 0.380, -1.044, 
0:01.58, -0.014, 0.934, 0.108, -0.079, 8.687, 3.662, -0.158, 0.380, -1.044, 
0:01.59, -0.014, 0.934, 0.108, -0.688, 8.687, 3.662, -0.158, 0.380, -1.044, 
0:01.60, -0.014, 0.934, 0.108, -0.079, 8.687, 3.662, -0.158, 0.383, -1.044, 
0:01.61, -0.014, 0.934, 0.108, -0.688, 8.687, 3.662, -0.158, 0.383, -1.044, 
0:01.62, -0.014, 0.934, 0.108, -0.688, 8.687, 3.662, -0.158, 0.383, -1.044, 
0:01.63, -0.014, 0.934, 0.108, -0.079, 8.687, 3.662, -0.158, 0.383, -1.041, 
0:01.64, -0.014, 0.934, 0.108, -0.688, 8.687, 4.393, -0.158, 0.383, -1.041, 
0:01.65, -0.021, 0.934, 0.108, -0.079, 8.687, 4.393, -0.158, 0.386, -1.041, 
