Logan 5.1.1
rawFileName="H:\timo\research\PoweredUp\data\{None} 9326 201402051224.raw"
From=0:00.0, To=5:32.9
Date=05Feb2014
Time=12:24:59
Athlete={None}
EventDescription=
Time, Forward, Sideways, Up, Gyr1(d/s), Gyr2(d/s), Gyr3(d/s), Mag Fwd, Mag Left, Mag Up, 
0:40.20, -0.986, -0.040, 0.108, -0.688, 8.687, 3.296, -0.836, -0.237, -0.013, 
0:40.21, -0.986, -0.040, 0.115, -1.296, 8.687, 3.296, -0.836, -0.237, -0.013, 
0:40.22, -0.993, -0.040, 0.108, -0.688, 8.687, 3.296, -0.839, -0.237, -0.013, 
0:40.22, -0.986, -0.040, 0.108, -0.688, 8.687, 3.296, -0.839, -0.237, -0.013, 
0:40.24, -0.986, -0.033, 0.108, -1.296, 8.340, 3.296, -0.836, -0.237, -0.013, 
0:40.25, -0.986, -0.040, 0.108, -2.513, 8.340, 3.296, -0.839, -0.237, -0.013, 
0:40.26, -0.986, -0.040, 0.108, -1.905, 8.340, 3.296, -0.839, -0.237, -0.013, 
0:40.27, -0.986, -0.040, 0.108, -1.905, 8.340, 3.296, -0.839, -0.237, -0.013, 
0:40.28, -0.986, -0.040, 0.108, -1.296, 8.340, 3.296, -0.839, -0.237, -0.013, 
0:40.29, -0.986, -0.040, 0.108, -1.296, 8.340, 3.296, -0.839, -0.234, -0.013, 
0:40.29, -0.986, -0.040, 0.108, -2.513, 8.687, 3.296, -0.839, -0.234, -0.013, 
0:40.31, -0.986, -0.040, 0.108, -2.513, 8.340, 3.296, -0.839, -0.234, -0.013, 
0:40.32, -0.986, -0.040, 0.115, -2.513, 8.340, 3.296, -0.839, -0.234, -0.013, 
0:40.33, -0.986, -0.040, 0.108, -2.513, 8.340, 3.296, -0.839, -0.234, -0.013, 
0:40.34, -0.986, -0.040, 0.115, -2.513, 8.340, 3.296, -0.839, -0.234, -0.013, 
0:40.35, -0.986, -0.040, 0.115, -2.513, 8.340, 3.296, -0.839, -0.234, -0.013, 
0:40.36, -0.986, -0.040, 0.108, -2.513, 8.340, 3.296, -0.839, -0.234, -0.013, 
0:40.36, -0.986, -0.033, 0.108, -2.513, 8.340, 3.296, -0.839, -0.234, -0.013, 
0:40.38, -0.986, -0.040, 0.108, -2.513, 8.340, 3.296, -0.839, -0.234, -0.013, 
0:40.39, -0.986, -0.040, 0.108, -1.905, 7.992, 3.296, -0.839, -0.234, -0.013, 
0:40.40, -0.986, -0.040, 0.108, -1.905, 6.949, 3.296, -0.839, -0.234, -0.013, 
0:40.40, -0.986, -0.040, 0.108, -1.296, 6.949, 3.296, -0.839, -0.234, -0.013, 
0:40.42, -0.986, -0.040, 0.108, -0.688, 6.949, 3.296, -0.839, -0.234, -0.013, 
0:40.43, -0.986, -0.033, 0.115, -0.688, 5.906, 3.296, -0.839, -0.234, -0.013, 
0:40.44, -0.986, -0.040, 0.108, -0.079, 5.559, 3.296, -0.839, -0.234, -0.013, 
0:40.45, -0.986, -0.040, 0.108, -0.079, 5.559, 3.296, -0.839, -0.234, -0.013, 
0:40.46, -0.979, -0.040, 0.108, -0.688, 5.559, 4.027, -0.839, -0.234, -0.013, 
0:40.47, -0.986, -0.040, 0.115, -0.688, 5.906, 4.758, -0.839, -0.234, -0.013, 
0:40.47, -0.986, -0.046, 0.108, -0.079, 5.559, 4.758, -0.839, -0.234, -0.013, 
0:40.49, -0.986, -0.046, 0.108, -0.079, 5.906, 4.758, -0.839, -0.234, -0.013, 
0:40.50, -0.986, -0.053, 0.108, -0.079, 5.906, 4.758, -0.839, -0.234, -0.013, 
0:40.51, -0.986, -0.060, 0.108, -0.688, 5.906, 4.758, -0.839, -0.234, -0.013, 
0:40.52, -0.986, -0.060, 0.115, -0.079, 5.906, 4.758, -0.836, -0.234, -0.013, 
0:40.53, -0.986, -0.060, 0.108, -0.079, 5.906, 4.758, -0.839, -0.234, -0.013, 
0:40.54, -0.986, -0.060, 0.108, -0.079, 5.906, 4.758, -0.836, -0.234, -0.013, 
0:40.54, -0.993, -0.060, 0.108, -0.688, 5.906, 4.758, -0.836, -0.234, -0.013, 
0:40.56, -0.986, -0.053, 0.108, -0.688, 5.906, 4.393, -0.836, -0.234, -0.013, 
0:40.57, -0.986, -0.060, 0.108, -0.079, 5.906, 4.393, -0.836, -0.234, -0.013, 
0:40.58, -0.986, -0.066, 0.108, -0.079, 6.949, 4.393, -0.836, -0.234, -0.013, 
0:40.59, -0.993, -0.060, 0.108, -0.079, 7.297, 4.393, -0.839, -0.234, -0.013, 
0:40.60, -0.986, -0.060, 0.115, -0.079, 7.297, 4.393, -0.839, -0.234, -0.009, 
0:40.61, -0.986, -0.066, 0.108, -0.079, 7.297, 4.393, -0.836, -0.234, -0.009, 
0:40.61, -0.986, -0.060, 0.108, -0.079, 7.297, 4.393, -0.839, -0.231, -0.009, 
0:40.63, -0.986, -0.060, 0.115, -0.079, 7.297, 4.393, -0.839, -0.231, -0.009, 
0:40.64, -0.986, -0.060, 0.115, -0.079, 7.297, 4.393, -0.839, -0.231, -0.009, 
0:40.65, -0.986, -0.060, 0.108, -0.079, 7.644, 4.393, -0.836, -0.231, -0.009, 
0:40.65, -0.986, -0.060, 0.115, -0.079, 7.644, 4.393, -0.836, -0.231, -0.009, 
0:40.67, -0.986, -0.053, 0.108, -0.079, 7.644, 4.393, -0.836, -0.231, -0.009, 
0:40.68, -0.986, -0.053, 0.115, -0.079, 7.644, 4.393, -0.836, -0.231, -0.009, 
0:40.69, -0.993, -0.046, 0.115, -0.079, 8.340, 4.393, -0.836, -0.231, -0.009, 
0:40.70, -0.993, -0.046, 0.115, -0.079, 8.340, 4.393, -0.836, -0.231, -0.009, 
0:40.71, -0.986, -0.046, 0.108, -0.079, 8.687, 4.393, -0.836, -0.231, -0.009, 
0:40.72, -0.986, -0.046, 0.108, -0.079, 8.687, 4.393, -0.836, -0.231, -0.009, 
0:40.72, -0.986, -0.046, 0.108, -0.079, 8.687, 4.393, -0.836, -0.231, -0.009, 
0:40.74, -0.986, -0.046, 0.108, -0.688, 8.687, 4.393, -0.839, -0.231, -0.006, 
0:40.75, -0.986, -0.046, 0.108, -0.079, 8.340, 4.758, -0.839, -0.231, -0.006, 
0:40.76, -0.986, -0.040, 0.108, -0.079, 8.340, 4.758, -0.839, -0.231, -0.006, 
0:40.77, -0.986, -0.040, 0.108, -0.079, 8.340, 4.758, -0.839, -0.231, -0.006, 
0:40.78, -0.986, -0.040, 0.108, -0.688, 8.340, 4.758, -0.839, -0.231, -0.006, 
0:40.79, -0.986, -0.040, 0.108, -0.079, 8.340, 4.758, -0.839, -0.231, -0.006, 
0:40.79, -0.986, -0.046, 0.108, -0.079, 8.340, 4.758, -0.839, -0.231, -0.006, 
0:40.81, -0.986, -0.046, 0.108, -0.079, 8.340, 4.758, -0.839, -0.231, -0.006, 
0:40.82, -0.986, -0.053, 0.115, -0.079, 8.340, 4.758, -0.839, -0.231, -0.006, 
0:40.83, -0.986, -0.046, 0.115, -0.688, 8.340, 4.758, -0.839, -0.231, -0.006, 
0:40.84, -0.986, -0.053, 0.108, -0.688, 8.340, 4.758, -0.839, -0.231, -0.006, 
0:40.85, -0.986, -0.053, 0.115, -0.079, 8.340, 4.758, -0.839, -0.231, -0.003, 
0:40.86, -0.986, -0.053, 0.108, -0.079, 8.340, 4.393, -0.839, -0.231, -0.003, 
0:40.86, -0.993, -0.046, 0.115, -0.079, 8.340, 4.393, -0.839, -0.231, -0.003, 
0:40.88, -0.986, -0.053, 0.115, -0.688, 8.340, 4.393, -0.839, -0.231, -0.003, 
0:40.89, -0.986, -0.053, 0.108, -0.079, 8.340, 4.393, -0.839, -0.231, -0.003, 
0:40.90, -0.986, -0.053, 0.115, -0.079, 8.340, 4.393, -0.839, -0.231, -0.003, 
0:40.90, -0.979, -0.053, 0.115, -0.079, 8.340, 4.393, -0.839, -0.231, -0.003, 
0:40.92, -0.986, -0.053, 0.115, -0.079, 8.340, 4.393, -0.839, -0.231, -0.003, 
0:40.93, -0.971, -0.053, 0.115, -0.079, 8.340, 4.393, -0.839, -0.231, -0.003, 
0:40.94, -0.971, -0.053, 0.115, 0.529, 8.340, 4.393, -0.839, -0.231, -0.003, 
0:40.95, -0.971, -0.053, 0.115, -0.079, 8.340, 4.393, -0.839, -0.231, -0.003, 
0:40.96, -0.964, -0.060, 0.115, -0.688, 8.340, 4.393, -0.839, -0.231, -0.003, 
0:40.97, -0.964, -0.060, 0.108, -0.079, 8.340, 4.393, -0.839, -0.231, -0.003, 
0:40.98, -0.957, -0.060, 0.115, -0.079, 8.340, 4.393, -0.839, -0.231, -0.003, 
0:40.99, -0.957, -0.060, 0.115, -0.079, 8.340, 4.393, -0.839, -0.231, -0.003, 
0:41.00, -0.964, -0.060, 0.115, -0.079, 8.340, 4.393, -0.839, -0.231, 0.000, 
0:41.01, -0.964, -0.060, 0.115, -0.688, 8.687, 3.662, -0.839, -0.231, 0.000, 
0:41.02, -0.964, -0.060, 0.108, -0.079, 8.340, 3.296, -0.839, -0.231, 0.000, 
0:41.03, -0.964, -0.060, 0.108, -0.079, 8.340, 2.931, -0.839, -0.231, 0.000, 
0:41.04, -0.964, -0.060, 0.115, -0.079, 8.340, 2.931, -0.839, -0.231, 0.000, 
0:41.05, -0.957, -0.060, 0.108, -0.079, 8.687, 2.931, -0.839, -0.231, 0.000, 
0:41.06, -0.964, -0.053, 0.108, -0.688, 8.687, 2.931, -0.839, -0.231, 0.000, 
0:41.07, -0.979, -0.053, 0.108, -0.688, 8.687, 2.931, -0.839, -0.231, 0.000, 
0:41.08, -0.993, -0.053, 0.108, -0.079, 8.687, 2.565, -0.839, -0.231, 0.000, 
0:41.09, -0.986, -0.046, 0.115, -0.688, 8.687, 1.469, -0.839, -0.231, 0.000, 
0:41.10, -0.993, -0.053, 0.108, -0.079, 8.687, 1.469, -0.839, -0.231, 0.000, 
0:41.11, -0.986, -0.053, 0.108, -0.079, 8.687, 1.469, -0.839, -0.231, 0.000, 
0:41.12, -0.986, -0.060, 0.108, -0.688, 8.687, 1.469, -0.839, -0.231, 0.000, 
0:41.13, -0.986, -0.060, 0.108, -0.079, 8.687, 1.469, -0.839, -0.231, 0.000, 
0:41.14, -0.986, -0.060, 0.108, -0.688, 8.340, 1.469, -0.836, -0.231, 0.000, 
0:41.15, -0.986, -0.060, 0.115, -0.079, 8.340, 1.469, -0.836, -0.231, -0.003, 
0:41.16, -0.986, -0.060, 0.115, -0.688, 8.340, 1.469, -0.836, -0.231, -0.003, 
0:41.17, -0.986, -0.060, 0.108, -0.079, 8.340, 1.469, -0.836, -0.231, -0.003, 
0:41.18, -0.986, -0.060, 0.115, -0.079, 7.644, 1.835, -0.836, -0.231, -0.003, 
0:41.19, -0.986, -0.060, 0.108, -0.079, 7.297, 1.835, -0.836, -0.231, -0.003, 
0:41.20, -0.986, -0.066, 0.108, -0.079, 7.297, 1.835, -0.836, -0.231, 0.000, 
0:41.21, -0.986, -0.060, 0.108, -0.688, 7.297, 1.835, -0.836, -0.234, 0.000, 
0:41.22, -0.986, -0.060, 0.108, -0.079, 6.949, 2.931, -0.836, -0.234, 0.000, 
0:41.23, -0.993, -0.060, 0.108, -0.079, 6.949, 3.296, -0.836, -0.234, 0.000, 
0:41.24, -0.986, -0.060, 0.108, -0.079, 6.949, 3.296, -0.836, -0.234, 0.000, 
0:41.25, -0.979, -0.060, 0.108, -0.688, 6.949, 3.296, -0.836, -0.234, 0.000, 
0:41.26, -0.986, -0.053, 0.108, -0.688, 6.602, 3.662, -0.836, -0.234, 0.000, 
0:41.27, -0.993, -0.046, 0.101, -0.079, 5.559, 4.758, -0.836, -0.234, 0.000, 
0:41.28, -0.986, -0.046, 0.101, -0.079, 5.559, 4.758, -0.836, -0.234, 0.000, 
0:41.29, -0.986, -0.040, 0.101, -0.688, 5.559, 4.758, -0.836, -0.234, 0.000, 
0:41.30, -0.986, -0.040, 0.101, -0.688, 5.559, 4.758, -0.836, -0.234, 0.000, 
0:41.31, -0.986, -0.040, 0.101, -0.688, 5.559, 4.758, -0.836, -0.234, 0.000, 
0:41.32, -0.986, -0.040, 0.101, -0.688, 5.559, 4.758, -0.836, -0.234, 0.003, 
0:41.33, -0.986, -0.040, 0.095, -0.688, 5.906, 4.393, -0.836, -0.234, 0.003, 
0:41.34, -0.986, -0.040, 0.095, -0.688, 5.559, 4.758, -0.836, -0.234, 0.003, 
0:41.35, -0.986, -0.040, 0.095, -0.688, 5.559, 4.393, -0.836, -0.234, 0.003, 
0:41.36, -0.971, -0.040, 0.095, -0.079, 5.559, 4.393, -0.839, -0.234, 0.003, 
0:41.37, -0.979, -0.040, 0.095, -0.079, 5.906, 4.393, -0.839, -0.234, 0.003, 
0:41.38, -0.986, -0.040, 0.095, -0.688, 5.906, 4.393, -0.839, -0.234, 0.003, 
0:41.39, -0.986, -0.040, 0.095, -0.688, 5.906, 4.393, -0.839, -0.234, 0.003, 
0:41.40, -0.986, -0.040, 0.101, -0.079, 5.906, 4.393, -0.839, -0.234, 0.003, 
0:41.41, -0.993, -0.040, 0.108, -0.079, 6.949, 3.296, -0.839, -0.234, 0.003, 
0:41.42, -0.986, -0.040, 0.108, -0.079, 7.297, 2.931, -0.836, -0.234, 0.003, 
0:41.43, -0.986, -0.046, 0.108, -0.688, 7.297, 2.931, -0.836, -0.234, 0.003, 
0:41.44, -0.986, -0.053, 0.115, -0.688, 7.297, 2.200, -0.836, -0.234, 0.003, 
0:41.45, -0.986, -0.066, 0.115, -0.688, 8.340, 1.469, -0.836, -0.234, 0.003, 
0:41.46, -0.986, -0.066, 0.115, -0.688, 8.687, 1.469, -0.836, -0.234, 0.006, 
0:41.47, -0.986, -0.060, 0.108, -0.688, 8.687, 1.469, -0.836, -0.234, 0.006, 
0:41.48, -0.986, -0.066, 0.108, -0.688, 9.035, 1.469, -0.836, -0.234, 0.006, 
0:41.49, -0.986, -0.066, 0.115, -0.079, 10.078, 1.469, -0.836, -0.234, 0.006, 
0:41.50, -0.986, -0.066, 0.108, -0.688, 10.078, 1.469, -0.836, -0.234, 0.006, 
0:41.51, -0.986, -0.060, 0.108, -0.688, 10.078, 1.469, -0.836, -0.234, 0.006, 
0:41.52, -0.979, -0.060, 0.108, -1.296, 10.078, 1.469, -0.836, -0.237, 0.006, 
0:41.53, -0.979, -0.060, 0.108, -0.688, 9.730, 1.469, -0.836, -0.237, 0.006, 
0:41.54, -0.979, -0.060, 0.108, -0.079, 9.730, 1.835, -0.836, -0.237, 0.006, 
0:41.55, -0.986, -0.060, 0.108, -0.688, 9.730, 1.835, -0.836, -0.237, 0.006, 
0:41.56, -0.986, -0.060, 0.115, -0.079, 8.340, 1.835, -0.836, -0.237, 0.006, 
0:41.57, -0.986, -0.060, 0.108, -0.688, 8.340, 1.835, -0.836, -0.237, 0.006, 
0:41.58, -0.986, -0.060, 0.108, -0.688, 8.340, 1.835, -0.834, -0.237, 0.006, 
0:41.59, -0.986, -0.066, 0.108, -0.079, 8.340, 2.565, -0.834, -0.237, 0.006, 
0:41.60, -0.993, -0.060, 0.108, -0.079, 8.340, 3.296, -0.834, -0.237, 0.006, 
0:41.61, -0.986, -0.060, 0.115, -0.079, 8.340, 3.296, -0.834, -0.237, 0.006, 
0:41.62, -0.993, -0.060, 0.115, -0.688, 7.644, 3.296, -0.834, -0.237, 0.006, 
0:41.63, -0.986, -0.060, 0.108, -0.688, 6.949, 3.296, -0.834, -0.237, 0.006, 
0:41.64, -0.986, -0.060, 0.108, -0.688, 7.297, 3.296, -0.834, -0.237, 0.006, 
0:41.65, -0.986, -0.066, 0.108, -0.688, 7.297, 3.296, -0.834, -0.237, 0.006, 
0:41.66, -0.986, -0.060, 0.108, -1.296, 7.297, 3.296, -0.834, -0.241, 0.006, 
0:41.67, -0.986, -0.060, 0.108, -1.296, 7.297, 3.296, -0.834, -0.241, 0.006, 
0:41.68, -0.986, -0.060, 0.108, -2.513, 7.297, 3.662, -0.834, -0.241, 0.006, 
0:41.69, -0.993, -0.060, 0.108, -1.905, 7.297, 4.393, -0.834, -0.241, 0.006, 
0:41.70, -0.993, -0.060, 0.108, -2.513, 7.297, 4.758, -0.834, -0.241, 0.006, 
0:41.71, -0.986, -0.060, 0.108, -3.122, 7.644, 4.758, -0.834, -0.241, 0.006, 
0:41.72, -0.993, -0.060, 0.108, -2.513, 8.687, 4.758, -0.834, -0.241, 0.006, 
0:41.73, -0.986, -0.060, 0.108, -2.513, 8.687, 4.758, -0.834, -0.241, 0.006, 
0:41.74, -0.986, -0.060, 0.108, -2.513, 8.687, 4.393, -0.834, -0.241, 0.006, 
0:41.75, -0.986, -0.060, 0.108, -2.513, 8.687, 4.758, -0.834, -0.241, 0.006, 
0:41.76, -0.986, -0.060, 0.115, -2.513, 8.687, 4.393, -0.834, -0.241, 0.006, 
0:41.77, -0.986, -0.066, 0.108, -2.513, 8.687, 4.393, -0.834, -0.241, 0.006, 
0:41.78, -0.986, -0.060, 0.108, -2.513, 8.687, 4.393, -0.834, -0.241, 0.009, 
0:41.79, -0.986, -0.060, 0.108, -2.513, 9.035, 4.393, -0.834, -0.241, 0.009, 
0:41.80, -0.986, -0.060, 0.115, -2.513, 9.035, 4.393, -0.834, -0.241, 0.009, 
0:41.81, -0.986, -0.060, 0.115, -2.513, 9.383, 4.393, -0.834, -0.241, 0.009, 
0:41.82, -0.986, -0.060, 0.108, -1.905, 9.730, 4.393, -0.834, -0.241, 0.009, 
0:41.83, -0.986, -0.060, 0.115, -1.296, 9.730, 4.393, -0.834, -0.241, 0.009, 
0:41.84, -0.986, -0.060, 0.108, -0.079, 9.730, 4.393, -0.834, -0.241, 0.009, 
0:41.85, -0.979, -0.060, 0.108, -0.688, 9.730, 4.393, -0.834, -0.241, 0.009, 
0:41.86, -0.971, -0.060, 0.115, -0.079, 9.730, 4.393, -0.836, -0.241, 0.009, 
0:41.87, -0.964, -0.060, 0.108, -0.079, 9.730, 4.393, -0.836, -0.241, 0.009, 
0:41.88, -0.964, -0.060, 0.108, -0.079, 9.730, 4.393, -0.836, -0.241, 0.009, 
0:41.89, -0.964, -0.060, 0.108, -0.688, 9.730, 4.393, -0.836, -0.241, 0.009, 
0:41.90, -0.964, -0.066, 0.108, -0.688, 9.730, 4.393, -0.836, -0.241, 0.009, 
0:41.91, -0.964, -0.060, 0.115, -0.079, 9.730, 4.758, -0.836, -0.241, 0.009, 
0:41.92, -0.964, -0.060, 0.115, -0.079, 9.730, 4.758, -0.836, -0.241, 0.006, 
0:41.93, -0.964, -0.066, 0.108, -0.688, 9.730, 4.758, -0.836, -0.241, 0.006, 
0:41.94, -0.964, -0.060, 0.108, -0.688, 9.730, 4.393, -0.834, -0.241, 0.006, 
0:41.95, -0.964, -0.060, 0.108, -0.688, 9.730, 4.393, -0.834, -0.241, 0.006, 
0:41.96, -0.971, -0.060, 0.108, -0.688, 9.035, 4.393, -0.836, -0.241, 0.006, 
0:41.97, -0.979, -0.066, 0.108, -0.079, 8.687, 4.393, -0.834, -0.241, 0.006, 
0:41.98, -0.986, -0.060, 0.101, -0.688, 8.340, 4.393, -0.834, -0.241, 0.006, 
0:41.99, -0.986, -0.060, 0.095, -0.688, 8.687, 4.393, -0.834, -0.241, 0.006, 
0:42.00, -0.986, -0.060, 0.095, -0.079, 8.340, 4.393, -0.836, -0.241, 0.006, 
0:42.01, -0.986, -0.060, 0.088, -0.688, 8.687, 4.393, -0.836, -0.241, 0.006, 
0:42.02, -0.986, -0.060, 0.088, -0.688, 8.687, 4.393, -0.834, -0.241, 0.006, 
0:42.03, -0.986, -0.060, 0.088, -0.688, 8.340, 4.393, -0.834, -0.241, 0.006, 
0:42.04, -0.986, -0.060, 0.088, -0.079, 8.340, 4.393, -0.834, -0.241, 0.006, 
0:42.05, -0.993, -0.060, 0.101, -0.688, 8.340, 4.758, -0.834, -0.244, 0.006, 
0:42.06, -0.993, -0.060, 0.108, -0.079, 8.340, 4.393, -0.834, -0.241, 0.003, 
0:42.07, -0.986, -0.060, 0.115, -0.079, 8.340, 4.758, -0.834, -0.244, 0.003, 
0:42.08, -0.986, -0.060, 0.108, -0.688, 8.340, 4.758, -0.834, -0.241, 0.003, 
0:42.09, -0.986, -0.060, 0.108, -0.079, 8.340, 4.758, -0.834, -0.241, 0.003, 
0:42.10, -0.986, -0.060, 0.108, -0.079, 8.340, 4.758, -0.834, -0.241, 0.003, 
0:42.11, -0.986, -0.060, 0.108, -0.688, 8.340, 4.758, -0.834, -0.241, 0.003, 
0:42.12, -0.986, -0.060, 0.108, -0.079, 8.340, 4.758, -0.834, -0.241, 0.003, 
0:42.13, -0.986, -0.060, 0.115, -0.688, 7.297, 4.758, -0.834, -0.241, 0.003, 
0:42.14, -0.986, -0.060, 0.108, -0.079, 6.949, 4.758, -0.836, -0.241, 0.003, 
0:42.15, -0.986, -0.060, 0.108, -0.079, 6.949, 4.758, -0.836, -0.241, 0.003, 
0:42.16, -0.979, -0.060, 0.115, -0.688, 6.949, 4.758, -0.836, -0.241, 0.003, 
0:42.17, -0.986, -0.060, 0.108, -0.688, 6.949, 4.758, -0.836, -0.241, 0.003, 
0:42.18, -0.986, -0.060, 0.108, -0.688, 6.949, 4.758, -0.836, -0.241, 0.003, 
0:42.19, -0.986, -0.060, 0.115, -0.079, 6.949, 4.758, -0.836, -0.241, 0.003, 
0:42.20, -0.986, -0.060, 0.115, -0.079, 7.297, 4.758, -0.834, -0.241, 0.003, 
0:42.21, -0.986, -0.060, 0.108, -0.688, 7.297, 4.758, -0.836, -0.241, 0.003, 
0:42.22, -0.986, -0.053, 0.108, -0.079, 6.949, 4.758, -0.836, -0.237, 0.003, 
0:42.23, -0.986, -0.053, 0.108, -0.688, 6.949, 4.393, -0.836, -0.237, 0.003, 
0:42.24, -0.986, -0.060, 0.108, -0.079, 7.297, 4.393, -0.836, -0.237, 0.003, 
0:42.25, -0.979, -0.060, 0.108, -0.079, 7.297, 4.393, -0.836, -0.237, 0.003, 
0:42.26, -0.979, -0.060, 0.108, -0.688, 7.297, 4.758, -0.836, -0.237, 0.003, 
0:42.27, -0.979, -0.060, 0.108, -0.688, 7.644, 4.758, -0.836, -0.237, 0.003, 
0:42.28, -0.993, -0.060, 0.108, -0.079, 8.687, 4.758, -0.836, -0.237, 0.003, 
0:42.29, -0.986, -0.060, 0.108, -0.688, 8.687, 4.758, -0.836, -0.237, 0.006, 
0:42.30, -0.993, -0.060, 0.115, -0.688, 8.687, 4.393, -0.836, -0.237, 0.006, 
0:42.31, -0.986, -0.060, 0.115, -0.688, 8.687, 4.393, -0.836, -0.237, 0.006, 
0:42.32, -0.986, -0.046, 0.115, -0.688, 8.687, 4.393, -0.836, -0.237, 0.006, 
0:42.33, -0.986, -0.046, 0.108, -0.079, 8.687, 4.027, -0.836, -0.237, 0.006, 
0:42.34, -0.986, -0.046, 0.108, -0.079, 8.687, 2.931, -0.836, -0.237, 0.006, 
0:42.35, -0.986, -0.046, 0.108, -0.688, 8.687, 2.931, -0.836, -0.237, 0.006, 
0:42.36, -0.986, -0.046, 0.108, -0.688, 8.687, 2.931, -0.836, -0.234, 0.006, 
0:42.37, -0.986, -0.046, 0.108, -0.079, 8.687, 2.931, -0.839, -0.234, 0.006, 
0:42.38, -0.986, -0.046, 0.108, -0.079, 8.687, 2.931, -0.839, -0.234, 0.006, 
0:42.39, -0.986, -0.046, 0.108, -0.688, 8.687, 2.931, -0.839, -0.234, 0.006, 
0:42.40, -0.986, -0.046, 0.108, -0.079, 8.687, 2.931, -0.839, -0.234, 0.006, 
0:42.41, -0.986, -0.046, 0.115, -0.688, 8.687, 2.931, -0.839, -0.234, 0.006, 
0:42.42, -0.986, -0.040, 0.108, -0.688, 8.687, 2.931, -0.839, -0.234, 0.006, 
0:42.43, -0.993, -0.040, 0.108, -0.079, 8.687, 2.931, -0.839, -0.234, 0.006, 
0:42.44, -0.986, -0.040, 0.108, -0.688, 8.687, 3.296, -0.839, -0.234, 0.006, 
0:42.45, -0.986, -0.040, 0.108, -0.688, 8.687, 3.296, -0.836, -0.234, 0.006, 
0:42.46, -0.986, -0.040, 0.108, -0.688, 8.687, 3.296, -0.836, -0.234, 0.003, 
0:42.47, -0.986, -0.040, 0.115, -0.688, 8.687, 3.296, -0.836, -0.234, 0.003, 
0:42.48, -0.986, -0.040, 0.115, -0.688, 8.340, 3.296, -0.839, -0.234, 0.003, 
0:42.49, -0.986, -0.040, 0.115, -0.688, 8.340, 4.393, -0.839, -0.234, 0.003, 
0:42.50, -0.993, -0.040, 0.115, -0.688, 8.340, 4.758, -0.836, -0.234, 0.003, 
0:42.51, -0.986, -0.040, 0.115, -0.079, 8.340, 4.393, -0.839, -0.234, 0.003, 
0:42.52, -0.986, -0.040, 0.115, -0.688, 8.340, 4.393, -0.836, -0.234, 0.003, 
0:42.53, -0.993, -0.046, 0.108, -0.079, 8.340, 4.393, -0.836, -0.234, 0.003, 
0:42.54, -0.986, -0.046, 0.108, -0.688, 8.340, 4.393, -0.836, -0.234, 0.003, 
0:42.55, -0.986, -0.053, 0.115, -0.688, 7.992, 4.393, -0.836, -0.234, 0.003, 
0:42.56, -0.986, -0.053, 0.108, -0.079, 6.949, 4.393, -0.836, -0.234, 0.003, 
0:42.57, -0.986, -0.060, 0.108, -0.688, 6.949, 4.393, -0.839, -0.234, 0.003, 
0:42.58, -0.986, -0.060, 0.108, -0.079, 7.297, 4.393, -0.839, -0.234, 0.003, 
0:42.59, -0.986, -0.066, 0.115, -0.688, 6.949, 4.393, -0.839, -0.234, 0.003, 
0:42.60, -0.986, -0.060, 0.108, -0.688, 6.949, 4.393, -0.839, -0.234, 0.003, 
0:42.61, -0.979, -0.060, 0.108, -0.079, 6.949, 4.393, -0.839, -0.234, 0.003, 
0:42.62, -0.971, -0.060, 0.115, -0.688, 6.949, 4.393, -0.839, -0.234, 0.003, 
0:42.63, -0.964, -0.066, 0.115, -0.688, 6.949, 4.758, -0.839, -0.234, 0.003, 
0:42.64, -0.964, -0.060, 0.115, -0.688, 6.949, 4.758, -0.839, -0.234, 0.003, 
0:42.65, -0.964, -0.060, 0.108, -0.079, 6.949, 4.758, -0.839, -0.234, 0.003, 
0:42.66, -0.964, -0.060, 0.108, -0.079, 6.949, 4.758, -0.839, -0.234, 0.003, 
0:42.67, -0.957, -0.060, 0.115, -0.079, 6.949, 4.758, -0.839, -0.234, 0.003, 
0:42.68, -0.964, -0.060, 0.108, -0.079, 6.949, 4.758, -0.836, -0.231, 0.003, 
0:42.69, -0.964, -0.060, 0.108, -0.688, 7.297, 4.758, -0.839, -0.231, 0.003, 
0:42.70, -0.964, -0.060, 0.108, -0.079, 7.297, 4.393, -0.839, -0.231, 0.003, 
0:42.71, -0.971, -0.060, 0.108, -0.079, 7.297, 4.393, -0.839, -0.231, 0.003, 
0:42.72, -0.971, -0.060, 0.108, -0.688, 7.297, 4.393, -0.839, -0.231, 0.003, 
0:42.73, -0.979, -0.066, 0.108, -0.688, 7.297, 4.027, -0.839, -0.231, 0.003, 
0:42.74, -0.979, -0.060, 0.108, -0.079, 7.297, 2.931, -0.839, -0.231, 0.003, 
0:42.75, -0.979, -0.060, 0.101, -0.079, 7.297, 2.931, -0.839, -0.231, 0.003, 
0:42.76, -0.971, -0.066, 0.101, -0.079, 7.297, 2.200, -0.839, -0.231, 0.006, 
0:42.77, -0.971, -0.060, 0.101, -0.688, 7.297, 1.469, -0.839, -0.231, 0.006, 
0:42.78, -0.964, -0.060, 0.101, -0.688, 7.297, 1.469, -0.839, -0.231, 0.006, 
0:42.79, -0.957, -0.060, 0.108, -0.688, 7.297, 1.469, -0.839, -0.231, 0.006, 
0:42.80, -0.964, -0.060, 0.108, -0.079, 7.297, 1.469, -0.839, -0.231, 0.006, 
